StationCode,Date,Rainfall
136320,18-10-2005,0.1
136320,19-10-2005,0.5
136320,20-10-2005,0.1
136320,29-10-2005,0.6
136320,30-10-2005,5.3
136320,31-10-2005,0.6
136320,04-11-2005,1.4
136320,06-11-2005,1.4
136320,07-11-2005,1.9
136320,14-11-2005,0.5
136320,15-11-2005,4.4
136320,16-11-2005,0.3
136320,20-11-2005,4.5
136320,21-11-2005,23.9
136320,16-12-2005,26.5
136320,17-12-2005,0.9
136320,19-12-2005,0.5
136320,20-12-2005,3.2
136320,21-12-2005,0.7
136320,22-12-2005,2.3
136320,23-12-2005,3.8
136320,24-12-2005,36.2
136320,25-12-2005,6.3
136320,26-12-2005,0.7
136320,04-01-2006,0.1
136320,07-01-2006,2.7
136320,08-01-2006,1.9
136320,09-01-2006,0.4
136320,10-01-2006,24.0
136320,11-01-2006,72.2
136320,12-01-2006,14.3
136320,13-01-2006,5.7
136320,14-01-2006,10.8
136320,15-01-2006,7.6
136320,16-01-2006,1.7
136320,17-01-2006,10.1
136320,18-01-2006,10.1
136320,20-01-2006,0.5
136320,25-01-2006,8.0
136320,26-01-2006,0.6
136320,27-01-2006,0.3
136320,02-02-2006,2.5
136320,03-02-2006,11.6
136320,08-02-2006,11.1
136320,09-02-2006,3.3
136320,13-02-2006,3.0
136320,14-02-2006,6.5
136320,15-02-2006,4.3
136320,16-02-2006,1.6
136320,09-03-2006,2.0
136320,15-03-2006,0.5
136320,24-03-2006,0.5
136320,01-04-2006,20.0
136320,04-04-2006,6.3
136320,05-04-2006,11.6
136320,15-04-2006,10.0
136320,16-04-2006,1.4
136320,24-04-2006,3.5
136320,14-10-2006,5.4
136320,15-10-2006,1.6
136320,16-10-2006,2.5
136320,19-10-2006,0.3
136320,20-10-2006,0.4
136320,24-10-2006,4.8
136320,25-10-2006,1.1
136320,27-10-2006,16.9
136320,28-10-2006,22.8
136320,29-10-2006,0.2
136320,01-11-2006,2.6
136320,02-11-2006,1.0
136320,04-11-2006,8.8
136320,14-11-2006,8.2
136320,12-12-2006,4.0
136320,21-12-2006,0.6
136320,22-12-2006,4.4
136320,23-12-2006,2.2
136320,26-12-2006,60.5
136320,27-12-2006,6.4
136320,29-12-2006,0.1
136320,30-12-2006,2.6
136320,31-12-2006,28.2
136320,05-01-2007,14.2
136320,06-01-2007,19.5
136320,07-01-2007,3.2
136320,20-01-2007,10.5
136320,28-01-2007,1.1
136320,30-01-2007,21.2
136320,31-01-2007,0.5
136320,02-02-2007,0.8
136320,03-02-2007,15.4
136320,04-02-2007,2.5
136320,05-02-2007,15.3
136320,06-02-2007,7.1
136320,09-02-2007,1.3
136320,13-02-2007,0.3
136320,15-02-2007,3.2
136320,17-02-2007,1.1
136320,25-02-2007,0.7
136320,26-02-2007,2.4
136320,28-02-2007,0.1
136320,01-03-2007,11.1
136320,13-03-2007,7.4
136320,14-03-2007,9.8
136320,15-03-2007,2.7
136320,16-03-2007,9.3
136320,23-03-2007,0.1
136320,26-03-2007,1.7
136320,31-03-2007,4.7
136320,01-04-2007,0.1
136320,12-04-2007,0.4
136320,18-04-2007,1.3
136320,07-06-2007,0.1
136320,09-11-2007,2.3
136320,11-11-2007,0.4
136320,19-11-2007,15.1
136320,20-11-2007,18.3
136320,21-11-2007,46.2
136320,22-11-2007,5.1
136320,01-12-2007,2.0
136320,06-12-2007,15.6
136320,07-12-2007,28.9
136320,18-12-2007,1.7
136320,19-12-2007,4.7
136320,20-12-2007,8.1
136320,22-12-2007,1.9
136320,02-01-2008,0.5
136320,03-01-2008,12.7
136320,04-01-2008,8.6
136320,07-01-2008,17.4
136320,08-01-2008,6.4
136320,09-01-2008,2.5
136320,21-01-2008,0.7
136320,22-01-2008,3.9
136320,25-01-2008,0.6
136320,26-01-2008,17.1
136320,27-01-2008,2.8
136320,28-01-2008,0.1
136320,29-01-2008,21.6
136320,30-01-2008,5.6
136320,31-01-2008,0.1
136320,08-02-2008,0.1
136320,12-02-2008,2.9
136320,13-02-2008,15.9
136320,14-02-2008,34.3
136320,18-02-2008,3.1
136320,19-02-2008,3.6
136320,25-02-2008,5.0
136320,26-02-2008,0.9
136320,29-02-2008,0.5
136320,29-03-2008,0.1
136320,08-05-2008,0.4
136320,27-09-2008,1.7
136320,29-09-2008,0.3
136320,14-10-2008,10.3
136320,25-10-2008,2.9
136320,26-10-2008,8.2
136320,27-10-2008,20.7
136320,28-10-2008,9.2
136320,29-10-2008,6.6
136320,12-11-2008,7.6
136320,21-11-2008,0.3
136320,22-11-2008,8.4
136320,08-12-2008,0.6
136320,09-12-2008,3.4
136320,13-12-2008,1.8
136320,14-12-2008,0.2
136320,20-12-2008,0.4
136320,22-12-2008,2.1
136320,23-12-2008,48.0
136320,24-12-2008,12.9
136320,25-12-2008,5.4
136320,29-12-2008,6.0
136320,30-12-2008,1.0
136320,31-12-2008,0.2
136320,07-01-2009,0.6
136320,11-01-2009,0.4
136320,17-01-2009,0.3
136320,18-01-2009,0.3
136320,31-01-2009,1.9
136320,01-02-2009,0.2
136320,09-02-2009,2.7
136320,10-02-2009,6.6
136320,16-02-2009,4.7
136320,17-02-2009,3.1
136320,19-02-2009,2.3
136320,20-02-2009,12.1
136320,21-02-2009,4.4
136320,22-02-2009,30.7
136320,26-02-2009,2.0
136320,27-02-2009,38.8
136320,28-02-2009,16.4
136320,01-03-2009,3.5
136320,02-03-2009,3.3
136320,03-03-2009,4.1
136320,08-03-2009,1.0
136320,13-03-2009,1.0
136320,14-03-2009,1.6
136320,23-03-2009,6.3
136320,24-03-2009,3.2
136320,27-03-2009,0.5
136320,28-03-2009,0.1
136320,19-09-2009,2.3
136320,20-09-2009,0.9
136320,29-10-2009,20.2
136320,30-10-2009,33.8
136320,31-10-2009,11.0
136320,01-11-2009,2.0
136320,02-11-2009,28.5
136320,03-11-2009,3.7
136320,13-11-2009,2.2
136320,16-11-2009,1.8
136320,17-11-2009,1.0
136320,24-11-2009,0.9
136320,03-12-2009,0.6
136320,06-12-2009,2.9
136320,07-12-2009,26.7
136320,08-12-2009,3.4
136320,09-12-2009,0.1
136320,11-12-2009,2.2
136320,13-12-2009,2.7
136320,14-12-2009,1.4
136320,17-12-2009,11.3
136320,18-12-2009,27.4
136320,21-12-2009,1.5
136320,22-12-2009,2.9
136320,29-12-2009,1.9
136320,30-12-2009,29.3
136320,03-01-2010,0.1
136320,04-01-2010,0.2
136320,17-01-2010,7.8
136320,18-01-2010,7.4
136320,19-01-2010,0.9
136320,20-01-2010,9.6
136320,21-01-2010,7.3
136320,24-01-2010,6.9
136320,25-01-2010,2.2
136320,30-01-2010,0.7
136320,02-02-2010,0.2
136320,03-02-2010,0.7
136320,04-02-2010,1.3
136320,05-02-2010,2.6
136320,25-02-2010,41.6
136320,26-02-2010,18.6
136320,27-02-2010,0.1
136320,28-02-2010,17.4
136320,01-03-2010,0.7
136320,17-03-2010,3.8
136320,18-03-2010,0.1
136320,26-03-2010,9.9
136320,07-04-2010,0.9
136320,21-04-2010,0.3
136320,30-04-2010,0.1
136320,01-05-2010,1.1
136320,23-05-2010,0.3
136320,25-06-2010,0.5
136320,08-10-2010,1.5
136320,10-10-2010,0.1
136320,30-10-2010,0.1
136320,05-12-2010,3.0
136320,10-12-2010,1.3
136320,11-12-2010,4.9
136320,12-12-2010,53.9
136320,13-12-2010,5.7
136320,30-12-2010,0.4
136320,31-12-2010,2.6
136320,01-01-2011,0.7
136320,04-01-2011,14.3
136320,05-01-2011,7.6
136320,06-01-2011,0.4
136320,07-01-2011,5.3
136320,08-01-2011,0.7
136320,09-01-2011,1.9
136320,10-01-2011,1.5
136320,14-01-2011,18.6
136320,15-01-2011,2.7
136320,16-01-2011,2.9
136320,26-01-2011,1.9
136320,28-01-2011,2.0
136320,29-01-2011,11.4
136320,30-01-2011,4.6
136320,31-01-2011,4.7
136320,01-02-2011,0.3
136320,02-02-2011,0.8
136320,03-02-2011,0.4
136320,04-02-2011,6.1
136320,05-02-2011,2.2
136320,06-02-2011,1.8
136320,07-02-2011,15.2
136320,10-02-2011,40.6
136320,12-02-2011,0.1
136320,14-02-2011,0.1
136320,15-02-2011,0.9
136320,16-02-2011,1.1
136320,20-02-2011,8.6
136320,21-02-2011,0.1
136320,28-02-2011,3.6
136320,07-03-2011,12.6
136320,08-03-2011,14.2
136320,09-03-2011,9.0
136320,10-03-2011,10.4
136320,11-03-2011,19.8
136320,22-03-2011,0.7
136320,23-03-2011,2.8
136320,24-03-2011,6.0
136320,03-04-2011,18.0
136320,04-04-2011,13.0
136320,05-04-2011,3.2
136320,11-04-2011,0.6
136320,12-04-2011,1.1
136320,22-04-2011,0.2
136320,28-04-2011,1.6
136320,30-04-2011,0.1
136320,13-05-2011,3.5
136320,14-05-2011,0.4
136320,27-05-2011,1.1
136320,23-09-2011,2.7
136320,24-09-2011,0.9
136320,25-09-2011,3.6
136320,12-10-2011,0.4
136320,26-10-2011,2.5
136320,27-10-2011,0.5
136320,29-10-2011,1.3
136320,03-11-2011,8.6
136320,04-11-2011,5.9
136320,13-11-2011,2.1
136320,14-11-2011,44.6
136320,16-11-2011,43.2
136320,17-11-2011,37.6
136320,18-11-2011,16.8
136320,19-11-2011,6.2
136320,20-11-2011,3.1
136320,08-12-2011,2.1
136320,24-12-2011,7.2
136320,25-12-2011,1.3
136320,01-01-2012,36.7
136320,02-01-2012,17.6
136320,05-01-2012,11.1
136320,11-01-2012,14.6
136320,12-01-2012,24.3
136320,13-01-2012,20.1
136320,14-01-2012,1.0
136320,17-01-2012,7.1
136320,18-01-2012,4.5
136320,19-01-2012,1.6
136320,20-01-2012,0.1
136320,21-01-2012,7.1
136320,22-01-2012,16.4
136320,24-01-2012,0.7
136320,26-01-2012,1.0
136320,27-01-2012,12.6
136320,28-01-2012,3.2
136320,29-01-2012,0.3
136320,30-01-2012,4.4
136320,31-01-2012,33.8
136320,01-02-2012,26.0
136320,09-02-2012,0.7
136320,10-02-2012,0.6
136320,15-02-2012,0.2
136320,16-02-2012,7.6
136320,17-02-2012,5.3
136320,18-02-2012,4.2
136320,19-02-2012,0.2
136320,23-02-2012,0.3
136320,24-02-2012,1.4
136320,26-02-2012,0.3
136320,28-02-2012,7.1
136320,29-02-2012,11.5
136320,01-03-2012,4.8
136320,02-03-2012,6.7
136320,03-03-2012,28.1
136320,04-03-2012,12.0
136320,14-03-2012,3.5
136320,15-03-2012,2.7
136320,16-03-2012,2.0
136320,25-10-2012,0.5
136320,27-10-2012,0.4
136320,08-11-2012,5.4
136320,09-11-2012,15.0
136320,10-11-2012,23.3
136320,11-11-2012,18.7
136320,12-11-2012,6.4
136320,17-11-2012,0.1
136320,22-11-2012,15.6
136320,23-11-2012,19.2
136320,24-11-2012,7.4
136320,25-11-2012,1.0
136320,26-11-2012,2.0
136320,04-12-2012,9.8
136320,05-12-2012,12.1
136320,07-12-2012,1.2
136320,08-12-2012,1.7
136320,10-12-2012,4.8
136320,11-12-2012,2.3
136320,12-12-2012,0.2
136320,13-12-2012,0.4
136320,19-12-2012,1.8
136320,20-12-2012,5.4
136320,21-12-2012,21.8
136320,22-12-2012,0.6
136320,01-01-2013,3.8
136320,04-01-2013,5.0
136320,05-01-2013,48.1
136320,06-01-2013,16.8
136320,07-01-2013,21.8
136320,08-01-2013,40.1
136320,09-01-2013,7.9
136320,10-01-2013,4.5
136320,26-01-2013,0.7
136320,28-01-2013,4.2
136320,29-01-2013,9.4
136320,30-01-2013,32.5
136320,31-01-2013,15.2
136320,01-02-2013,23.2
136320,05-02-2013,0.7
136320,06-02-2013,0.3
136320,11-02-2013,3.3
136320,15-02-2013,8.6
136320,16-02-2013,5.3
136320,16-03-2013,0.1
136320,04-04-2013,1.0
136320,16-04-2013,2.0
136320,17-04-2013,0.9
136320,18-04-2013,1.6
136320,19-04-2013,1.2
136320,20-04-2013,11.1
136320,21-04-2013,5.3
136320,22-04-2013,1.6
136320,13-05-2013,2.8
136320,14-05-2013,0.3
136320,15-05-2013,4.2
136320,21-09-2013,1.3
136320,03-10-2013,0.2
136320,18-10-2013,6.5
136320,30-10-2013,0.1
136320,18-11-2013,2.3
136320,04-12-2013,3.8
136320,05-12-2013,2.6
136320,06-12-2013,1.8
136320,07-12-2013,3.0
136320,08-12-2013,11.1
136320,10-12-2013,29.5
136320,11-12-2013,14.1
136320,12-12-2013,48.2
136320,13-12-2013,51.6
136320,14-12-2013,14.3
136320,30-12-2013,7.3
136320,10-01-2014,3.1
136320,12-01-2014,0.2
136320,27-01-2014,1.2
136320,28-01-2014,0.2
136320,14-02-2014,12.1
136320,15-02-2014,4.1
136320,24-02-2014,0.1
136320,09-03-2014,8.3
136320,10-03-2014,7.0
136320,11-03-2014,16.2
136320,12-03-2014,16.0
136320,13-03-2014,19.7
136320,14-03-2014,0.7
136320,15-04-2014,0.3
136320,07-05-2014,24.7
136320,08-05-2014,1.9
136320,05-06-2014,0.4
136320,14-10-2014,23.5
136320,16-10-2014,18.2
136320,19-10-2014,10.3
136320,29-10-2014,0.1
136320,30-10-2014,4.3
136320,31-10-2014,10.4
136320,01-11-2014,1.1
136320,03-11-2014,9.8
136320,04-11-2014,18.2
136320,15-11-2014,45.5
136320,16-11-2014,4.6
136320,21-11-2014,0.1
136320,23-11-2014,4.7
136320,24-11-2014,5.2
136320,25-11-2014,22.6
136320,26-11-2014,8.3
136320,27-11-2014,4.3
136320,08-12-2014,0.3
136320,13-12-2014,17.0
136320,14-12-2014,0.2
136320,19-12-2014,0.5
136320,20-12-2014,7.2
136320,21-12-2014,0.2
136320,22-12-2014,16.0
136320,27-12-2014,2.7
136320,02-01-2015,3.9
136320,03-01-2015,12.6
136320,04-01-2015,5.2
136320,06-01-2015,0.7
136320,07-01-2015,43.8
136320,08-01-2015,9.0
136320,09-01-2015,17.9
136320,10-01-2015,35.9
136320,11-01-2015,0.3
136320,14-01-2015,7.6
136320,15-01-2015,8.6
136320,16-01-2015,7.7
136320,28-01-2015,1.2
136320,11-02-2015,2.9
136320,12-02-2015,6.3
136320,13-02-2015,29.7
136320,14-02-2015,1.2
136320,15-02-2015,12.2
136320,16-02-2015,0.3
136320,17-02-2015,0.6
136320,18-02-2015,8.2
136320,19-02-2015,24.0
136320,20-02-2015,6.8
136320,21-02-2015,1.7
136320,24-02-2015,0.1
136320,03-03-2015,0.3
136320,11-03-2015,3.9
136320,12-03-2015,0.1
136320,21-03-2015,4.0
136320,28-03-2015,0.1
136320,31-03-2015,1.0
136320,01-04-2015,1.6
136320,09-04-2015,0.2
136320,10-04-2015,5.2
136320,11-04-2015,24.5
136320,12-04-2015,10.2
136320,11-05-2015,0.1
136320,06-10-2015,6.9
136320,07-10-2015,0.1
136320,08-10-2015,2.9
136320,09-10-2015,2.1
136320,25-10-2015,6.8
136320,26-10-2015,6.0
136320,27-10-2015,6.9
136320,28-10-2015,24.7
136320,29-10-2015,20.5
136320,03-11-2015,1.6
136320,04-11-2015,0.1
136320,05-11-2015,15.4
136320,06-11-2015,16.0
136320,07-11-2015,8.8
136320,08-11-2015,3.2
136320,09-11-2015,0.5
136320,16-11-2015,11.3
136320,17-11-2015,9.0
136320,30-11-2015,11.1
136320,01-12-2015,3.5
136320,02-12-2015,8.3
136320,12-12-2015,18.0
136320,13-12-2015,2.7
136320,14-12-2015,5.8
136320,17-12-2015,47.1
136320,18-12-2015,12.3
136320,19-12-2015,4.3
136320,30-12-2015,0.5
136320,31-12-2015,17.5
136320,01-01-2016,7.1
136320,02-01-2016,4.1
136320,03-01-2016,24.3
136320,08-01-2016,11.0
136320,11-01-2016,0.3
136320,18-01-2016,0.3
136320,19-01-2016,22.9
136320,20-01-2016,1.2
136320,23-01-2016,7.9
136320,24-01-2016,7.7
136320,25-01-2016,15.5
136320,26-01-2016,8.2
136320,06-02-2016,11.1
136320,07-02-2016,11.4
136320,08-02-2016,2.5
136320,10-02-2016,2.0
136320,21-02-2016,16.9
136320,22-02-2016,8.9
136320,23-02-2016,15.6
136320,02-03-2016,1.6
136320,03-03-2016,1.0
136320,13-03-2016,0.1
136320,14-03-2016,0.7
136320,15-03-2016,3.5
136320,16-03-2016,0.6
136320,20-03-2016,0.5
136320,21-03-2016,0.8
136320,26-03-2016,0.2
136320,27-03-2016,6.6
136320,28-03-2016,2.4
136320,12-04-2016,4.4
136320,13-04-2016,1.6
136320,23-05-2016,1.4
136320,27-10-2016,0.6
136320,01-11-2016,2.3
136320,01-12-2016,55.2
136320,02-12-2016,13.8
136320,03-12-2016,1.7
136320,08-12-2016,2.0
136320,12-12-2016,3.1
136320,13-12-2016,30.1
136320,14-12-2016,3.3
136320,15-12-2016,2.5
136320,16-12-2016,28.7
136320,17-12-2016,0.3
136320,19-12-2016,8.2
136320,24-12-2016,5.1
136320,25-12-2016,34.1
136320,26-12-2016,16.5
136320,27-12-2016,24.2
136320,30-12-2016,0.9
136320,31-12-2016,2.0
136320,01-01-2017,0.2
136320,02-01-2017,11.4
136320,03-01-2017,6.4
136320,04-01-2017,3.5
136320,12-01-2017,3.1
136320,14-01-2017,2.7
136320,26-01-2017,3.8
136320,27-01-2017,4.2
136320,28-01-2017,3.4
136320,30-01-2017,0.1
136320,31-01-2017,7.8
136320,11-02-2017,2.5
136320,12-02-2017,7.3
136320,13-02-2017,6.6
136320,14-02-2017,23.7
136320,15-02-2017,19.4
136320,16-02-2017,1.3
136320,02-03-2017,0.8
136320,12-03-2017,0.5
136320,15-03-2017,1.5
136320,22-03-2017,0.3
136320,01-04-2017,3.1
136320,02-04-2017,2.4
136320,12-04-2017,1.2
136320,08-10-2017,1.2
136320,09-10-2017,0.7
136320,13-10-2017,0.3
136320,29-10-2017,3.9
136320,01-11-2017,0.1
136320,20-11-2017,10.2
136320,21-11-2017,10.5
136320,23-11-2017,1.9
136320,29-11-2017,1.7
136320,05-12-2017,1.1
136320,06-12-2017,5.4
136320,24-12-2017,30.1
136320,31-12-2017,5.9
136320,01-01-2018,41.2
136320,04-01-2018,12.9
136320,05-01-2018,29.7
136320,06-01-2018,3.1
136320,14-01-2018,1.7
136320,15-01-2018,0.1
136320,17-01-2018,5.0
136320,18-01-2018,15.4
136320,19-01-2018,1.0
136320,22-01-2018,7.8
136320,23-01-2018,10.9
136320,24-01-2018,11.5
136320,25-01-2018,26.0
136320,26-01-2018,26.3
136320,27-01-2018,0.8
136320,28-01-2018,0.5
136320,12-02-2018,14.8
136320,13-02-2018,0.1
136320,16-02-2018,26.6
136320,17-02-2018,43.8
136320,21-02-2018,5.3
136320,25-02-2018,1.6
136320,26-02-2018,7.4
136320,23-03-2018,0.2
136320,27-03-2018,4.6
136320,29-03-2018,1.9
136320,09-04-2018,0.6
136320,10-04-2018,1.4
136320,21-04-2018,0.2
136320,24-04-2018,0.1
136320,25-04-2018,23.7
136320,26-04-2018,0.5
136320,06-05-2018,0.7
136320,07-05-2018,0.5
136320,12-05-2018,2.4
136320,12-06-2018,2.5
136320,17-10-2018,5.8
136320,20-10-2018,0.3
136320,25-10-2018,7.9
136320,04-11-2018,2.9
136320,05-11-2018,33.0
136320,14-11-2018,4.3
136320,15-11-2018,0.8
136320,16-11-2018,1.9
136320,22-11-2018,10.1
136320,23-11-2018,5.8
136320,30-11-2018,5.3
136320,01-12-2018,0.9
136320,05-12-2018,6.7
136320,06-12-2018,60.2
136320,07-12-2018,58.8
136320,08-12-2018,9.9
136320,12-12-2018,2.0
136320,17-12-2018,4.2
136320,19-12-2018,24.5
136320,20-12-2018,8.3
136320,21-12-2018,0.1
136320,24-12-2018,0.1
136320,26-12-2018,6.0
136320,27-12-2018,12.9
136320,28-12-2018,2.7
136320,29-12-2018,16.6
136320,30-12-2018,10.3
136320,31-12-2018,0.4
136320,02-01-2019,1.1
136320,06-01-2019,15.4
136320,08-01-2019,18.5
136320,09-01-2019,12.4
136320,13-01-2019,1.1
136320,14-01-2019,0.7
136320,16-01-2019,11.6
136320,28-01-2019,17.7
136320,05-02-2019,0.2
136320,06-02-2019,18.8
136320,07-02-2019,0.3
136320,08-02-2019,3.7
136320,09-02-2019,2.5
136320,10-02-2019,5.8
136320,11-02-2019,0.1
136320,13-02-2019,0.2
136320,14-02-2019,0.3
136320,15-02-2019,24.5
136320,17-02-2019,0.1
136320,18-02-2019,0.3
136320,19-02-2019,1.1
136320,26-02-2019,5.0
136320,27-02-2019,8.9
136320,28-02-2019,8.7
136320,01-03-2019,1.2
136320,02-03-2019,3.0
136320,03-03-2019,1.4
136320,04-03-2019,4.2
136320,13-03-2019,10.2
136320,14-03-2019,6.4
136320,16-03-2019,6.2
136320,24-03-2019,9.3
136320,25-03-2019,3.0
136320,28-03-2019,0.4
136320,29-03-2019,0.3
136320,30-03-2019,8.6
136320,31-03-2019,11.0
136320,01-04-2019,1.4
136320,15-04-2019,2.3
136320,17-04-2019,0.1
136320,20-04-2019,1.8
136320,21-04-2019,0.2
136320,14-10-2019,0.6
136320,15-10-2019,1.8
136320,22-10-2019,0.3
136320,26-10-2019,20.5
136320,27-10-2019,4.2
136320,29-10-2019,0.7
136320,02-11-2019,0.5
136320,15-11-2019,3.5
136320,01-12-2019,5.6
136320,02-12-2019,0.1
136320,05-12-2019,0.5
136320,07-12-2019,0.2
136320,08-12-2019,5.3
136320,09-12-2019,16.9
136320,12-12-2019,5.1
136320,15-12-2019,0.1
136320,25-12-2019,10.1
136320,26-12-2019,39.6
136320,27-12-2019,8.0
136320,28-12-2019,18.5
136320,01-01-2020,0.1
136320,02-01-2020,23.2
136320,04-01-2020,102.6
136320,05-01-2020,0.4
136320,07-01-2020,0.1
136320,08-01-2020,34.8
136320,09-01-2020,24.3
136320,10-01-2020,0.1
136320,12-01-2020,3.8
136320,13-01-2020,0.4
136320,16-01-2020,0.4
136320,17-01-2020,9.5
136320,18-01-2020,15.4
136320,19-01-2020,39.1
136320,20-01-2020,15.5
136320,21-01-2020,36.6
136320,22-01-2020,1.8
136320,23-01-2020,6.2
136320,24-01-2020,4.1
136320,28-01-2020,0.1
136320,30-01-2020,4.6
136320,01-02-2020,2.1
136320,06-02-2020,1.2
136320,07-02-2020,13.1
136320,08-02-2020,3.6
136320,09-02-2020,1.7
136320,10-02-2020,2.5
136320,11-02-2020,6.9
136320,19-02-2020,21.2
136320,21-02-2020,2.1
136320,22-02-2020,0.2
136320,29-02-2020,5.9
136320,01-03-2020,0.2
136320,05-03-2020,0.2
136320,06-03-2020,2.3
136320,12-03-2020,11.5
136320,13-03-2020,31.9
136320,17-03-2020,9.5
136320,19-03-2020,2.7
136320,20-03-2020,10.8
136320,21-03-2020,2.2
136320,26-03-2020,1.8
136320,31-03-2020,0.3
136320,09-04-2020,0.4
136320,10-04-2020,4.5
136320,11-04-2020,0.6
136320,24-04-2020,0.4
136320,05-05-2020,4.3
136320,03-11-2020,16.8
136320,04-11-2020,18.4
136320,05-11-2020,11.9
136320,14-11-2020,12.5
136320,15-11-2020,5.5
136320,19-11-2020,0.2
136320,20-11-2020,44.9
136320,21-11-2020,36.4
136320,25-11-2020,55.9
136320,26-11-2020,7.3
136320,28-11-2020,2.4
136320,05-12-2020,3.4
136320,06-12-2020,0.2
136320,08-12-2020,1.6
136320,14-12-2020,1.7
136320,15-12-2020,19.9
136320,16-12-2020,58.2
136320,17-12-2020,8.5
136320,23-12-2020,5.3
136320,24-12-2020,0.9
136320,13-01-2021,0.5
136320,14-01-2021,12.3
136320,15-01-2021,1.5
136320,17-01-2021,22.2
136320,18-01-2021,5.8
136320,19-01-2021,18.6
136320,20-01-2021,0.5
136320,28-01-2021,12.2
136320,29-01-2021,8.8
136320,30-01-2021,0.7
136320,03-02-2021,3.2
136320,04-02-2021,7.7
136320,16-02-2021,15.6
136320,17-02-2021,24.0
136320,18-02-2021,6.2
136320,19-02-2021,24.8
136320,23-02-2021,0.5
136320,28-02-2021,0.6
136320,03-03-2021,14.0
136320,04-03-2021,0.6
136320,11-03-2021,1.2
136320,24-03-2021,0.1
136320,25-03-2021,0.5
136320,26-03-2021,1.2
136320,02-04-2021,3.1
136320,23-09-2021,0.9
136320,24-09-2021,0.1
136320,11-10-2021,0.1
136320,12-10-2021,0.1
136320,30-10-2021,1.2
136320,31-10-2021,2.6
136320,18-11-2021,7.0
136320,19-11-2021,5.4
136320,20-11-2021,21.1
136320,30-11-2021,3.2
136320,01-12-2021,2.1
136320,05-12-2021,2.2
136320,08-12-2021,33.5
136320,09-12-2021,5.0
136320,16-12-2021,24.4
136320,17-12-2021,59.1
136320,19-12-2021,1.2
136320,20-12-2021,24.7
136320,21-12-2021,92.6
136320,22-12-2021,30.9
136320,23-12-2021,3.4
136320,29-12-2021,1.3
136320,31-12-2021,3.5
136320,02-01-2022,11.7
136320,03-01-2022,1.3
136320,13-01-2022,12.7
136320,14-01-2022,33.3
136320,15-01-2022,40.4
136320,16-01-2022,7.3
136320,18-01-2022,9.1
136320,19-01-2022,1.8
136320,23-01-2022,27.9
136320,24-01-2022,4.0
136320,26-01-2022,21.0
136320,27-01-2022,23.6
136320,28-01-2022,30.4
136320,29-01-2022,1.7
136320,31-01-2022,1.9
136320,01-02-2022,0.6
136320,04-02-2022,6.5
136320,05-02-2022,2.8
136320,06-02-2022,0.3
136320,09-02-2022,19.6
136320,10-02-2022,4.1
136320,18-02-2022,0.2
136320,19-02-2022,0.7
136320,24-02-2022,0.4
136320,25-02-2022,6.6
136320,26-02-2022,1.8